Episode,Average_Q_Value,Max_Q_Value
0,0.0,0.0
1,-1.0574999999999999,0.0
2,-1.2645833333333334,0.0
3,-1.3950980392156864,0.0
4,-1.34375,0.0
5,-1.4587500000000002,0.0
6,-1.5222222222222221,0.0
7,-1.5005813953488374,0.0
8,-1.4770833333333335,0.0
9,-1.6364485981308414,0.0
10,-1.6775229357798167,0.0
11,-1.7102678571428573,0.0
12,-1.7521186440677967,0.0
13,-1.8813709677419355,0.0
14,-1.893174603174603,0.0
15,-1.9003076923076923,0.0
16,-1.9239999999999997,0.0
17,-1.9090209790209791,0.0
18,-1.989102564102564,0.0
19,-2.003459119496855,0.0
20,-1.9984756097560976,0.0
21,-1.9737572254335263,0.0
22,-1.9622777777777776,0.0
23,-1.975191256830601,0.0
24,-1.9957297297297296,0.0
25,-2.067971282051282,0.0
26,-2.1095803921568623,0.0
27,-2.0938009569377987,0.0
28,-2.122089305660378,0.0
29,-2.10560424,0.0
30,-2.12810424,0.0
31,-2.1314546522522524,0.0
32,-2.138933624669604,0.0
33,-2.14208704279476,0.0
34,-2.147133908225108,0.0
35,-2.1619653768240346,0.0
36,-2.1453958149019607,0.0
37,-2.157688454474708,0.0
38,-2.160078991698113,0.0
39,-2.156889863736264,0.0
40,-2.1394997582733812,0.0
41,-2.151896188571429,0.0
42,-2.1620807492957748,0.0
43,-2.1758074573426573,0.0
44,-2.185647849477352,0.0
45,-2.245061624742268,0.0
46,-2.2510643972789115,0.0
47,-2.2554031093333333,0.0
48,-2.2645213714285712,0.0
49,-2.3236543842105264,0.0
50,-2.3248069699346403,0.0
51,-2.333520953745928,0.0
52,-2.3456199116883116,0.0
53,-2.3466159122580645,0.0
54,-2.3634645282051285,0.0
55,-2.3672699776397517,0.0
56,-2.3507979596330277,0.0
57,-2.358874795121951,0.0
58,-2.369044708982036,0.0
59,-2.369558972781065,0.0
60,-2.384198026035503,0.0
61,-2.4020703905882352,0.0
62,-2.4294039021449274,0.0
63,-2.449263245648415,0.0
64,-2.442505230141643,0.0
65,-2.538271197303371,0.0
66,-2.5506515173333337,0.0
67,-2.550371674696133,0.0
68,-2.5641838293922654,0.0
69,-2.589653442651934,0.0
70,-2.6088311709890113,0.0
71,-2.608236465136612,0.0
72,-2.6045478680106107,0.0
73,-2.4340637564675323,200.0
74,-2.447902717506494,200.0
75,-2.4800502499740262,200.0
76,-2.480799344289406,200.0
77,-2.4965792962467868,200.0
78,-2.4811882183291143,200.0
79,-2.516086732929293,200.0
80,-2.5440733656,200.0
81,-2.544475985671642,200.0
82,-2.5544262344278605,200.0
83,-2.573890015369458,200.0
84,-2.5880819317936115,200.0
85,-2.604403753009709,200.0
86,-2.6170636382608694,200.0
87,-2.6234080632289154,200.0
88,-2.6291210246153844,200.0
89,-2.6291013067942584,200.0
90,-2.6514781533174228,200.0
91,-2.654751402917647,200.0
92,-2.651196154046511,200.0
93,-2.6325271081006867,200.0
94,-2.631923339954442,200.0
95,-2.643312861594533,200.0
96,-2.643229810068027,200.0
97,-2.65075021724605,200.0
98,-2.6500726881797756,200.0
99,-2.6494012220134233,200.0
100,-2.71504224069869,200.0
101,-2.7297802319650657,200.0
102,-2.733854784836601,200.0
103,-2.7952322645887446,200.0
104,-2.806379450735931,200.0
105,-2.796041252649573,200.0
106,-2.810015545191489,200.0
107,-2.860105757957447,200.0
108,-2.9238976728510644,200.0
109,-2.9332806515744685,200.0
110,-2.9770290810169495,200.0
111,-3.018694843728814,200.0
112,-3.031772080675106,200.0
113,-3.081861202922922,200.0
114,-3.110961202922922,200.0
115,-3.1398446314943507,200.0
116,-3.154025303763258,200.0
117,-3.150972953217768,200.0
118,-3.1660042684578515,200.0
119,-3.181779718485054,200.0
120,-3.052979345625127,360.0
121,-3.063780630623832,360.0
122,-3.0950700505994053,360.0
123,-3.105666758418335,360.0
124,-3.118825194632327,360.0
125,-3.1283347938219936,360.0
126,-3.1353693504816587,360.0
127,-3.157400882125617,360.0
128,-3.1864881837129184,360.0
129,-3.1900792962204174,360.0
130,-3.1984981118405353,360.0
131,-3.218467109647556,360.0
132,-3.230381544471084,360.0
133,-3.2734668173913173,360.0
134,-3.292017901515922,360.0
135,-3.323487633316688,360.0
136,-3.378691703983449,360.0
137,-3.389607484993,360.0
138,-3.420547622332029,360.0
139,-3.4194229143232286,360.0
140,-3.425740873291938,360.0
141,-3.422273679009946,360.0
142,-3.420799896818084,360.0
143,-3.430110883782702,360.0
144,-3.434701755745931,360.0
145,-3.4320195270209464,360.0
146,-3.4377914422634395,360.0
147,-3.4404634453223233,360.0
148,-3.4433093149476472,360.0
149,-3.443104174984259,360.0
150,-3.4703433054190413,360.0
151,-3.4836422184625198,360.0
152,-3.5108081310312476,360.0
153,-3.526255599623305,360.0
154,-3.5327826754355796,360.0
155,-3.5414773420707033,360.0
156,-3.5592834521714227,360.0
157,-3.5800060910203433,360.0
158,-3.5906355874232205,360.0
159,-3.6142691321495706,360.0
160,-3.6215578933703965,360.0
161,-3.6286674086307196,360.0
162,-3.6556580729036106,360.0
163,-3.6627675881639337,360.0
164,-3.6638199759987655,360.0
165,-3.6543877836137444,360.0
166,-3.6619991918133885,360.0
167,-3.724954903185937,360.0
168,-3.7276744239561475,360.0
169,-3.7533056040555155,360.0
170,-3.76770680897233,360.0
171,-3.840249278108132,360.0
172,-3.846333934192788,360.0
173,-3.8362128783987908,360.0
174,-3.844984808223352,360.0
175,-3.852002352083001,360.0
176,-3.9278237139882854,360.0
177,-3.9513280922719978,360.0
178,-3.9570198610986176,360.0
179,-3.979662856545203,360.0
180,-4.037956319524103,360.0
181,-4.041714235343747,360.0
182,-4.046772123630106,360.0
183,-4.053201338693248,360.0
184,-4.0618818942488035,360.0
185,-4.094607228920816,360.0
186,-4.09487607454552,360.0
187,-4.097821020876184,360.0
188,-4.099376501874674,360.0
189,-4.1127385708401905,360.0
190,-4.15245979911909,360.0
191,-4.168331496713592,360.0
192,-4.176836651352768,360.0
193,-4.179844060081011,360.0
194,-4.189929128574162,360.0
195,-4.203091457341286,360.0
196,-4.213496251861834,360.0
197,-4.214840702713352,360.0
198,-4.2089979745950785,360.0
199,-4.216344482261177,360.0
200,-4.246044993334431,360.0
201,-4.246476889604271,360.0
202,-4.28996307327774,360.0
203,-4.303823617495426,360.0
204,-4.319071916815155,360.0
205,-4.354485241234824,360.0
206,-4.348209487457379,360.0
207,-4.353387152431997,360.0
208,-4.3544794038637,360.0
209,-4.352359944591433,360.0
210,-4.37166873247022,360.0
211,-4.376924490045979,360.0
212,-4.401576099473588,360.0
213,-4.408655224052712,360.0
214,-4.403424837394817,360.0
215,-4.409314099139784,360.0
216,-4.429915161206897,360.0
217,-4.443310093778112,360.0
218,-4.46213748508246,360.0
219,-4.456013693465518,360.0
220,-4.4635281465545935,360.0
221,-4.479492385513805,360.0
222,-4.487798033354337,360.0
223,-4.488979131143136,360.0
224,-4.49437817231674,360.0
225,-4.509026185561773,360.0
226,-4.544606516687601,360.0
227,-4.5524061855617735,360.0
228,-4.554625967127576,360.0
229,-4.577037023233187,360.0
230,-4.587994804727932,360.0
231,-4.63843373499069,360.0
232,-4.640756555685149,360.0
233,-4.654614398822403,360.0
234,-4.686914562221097,360.0
235,-4.691254431502142,360.0
236,-4.697160104704756,360.0
237,-4.709493316469462,360.0
238,-4.719858349149201,360.0
239,-4.735966192286456,360.0
240,-4.74825381676886,360.0
241,-4.755260342054341,360.0
242,-4.7772898206840315,360.0
243,-4.777834625536337,360.0
244,-4.775633863765115,360.0
245,-4.786143474154726,360.0
246,-4.78649008116582,360.0
247,-4.808364199481086,360.0
248,-4.838425655791765,360.0
249,-4.850690995597591,360.0
250,-4.868081189772347,360.0
251,-4.892794393655843,360.0
252,-4.909031787704257,360.0
253,-4.934298777995519,360.0
254,-4.957423206464024,360.0
255,-4.97054406591475,360.0
256,-4.999886553798435,360.0
257,-5.022322220647147,360.0
258,-5.027817598713737,360.0
259,-5.0352461011291965,360.0
260,-5.047299403217413,360.0
261,-5.060563068812269,360.0
262,-5.066630857509954,360.0
263,-5.073340122685672,360.0
264,-5.103231656231998,360.0
265,-5.114308333548292,360.0
266,-5.132923221727206,360.0
267,-5.149214256487589,360.0
268,-5.168198154251168,360.0
269,-5.159700707900049,360.0
270,-5.172087809810877,360.0
271,-5.18529003911024,360.0
272,-5.197125867135718,360.0
273,-5.232932033960622,360.0
274,-5.256107703276997,360.0
275,-5.264295302641067,360.0
276,-5.2767355252165835,360.0
277,-5.289012091194326,360.0
278,-5.297824770414653,360.0
279,-5.302904135494018,360.0
280,-5.322210198986081,360.0
281,-5.330146706922589,360.0
282,-5.349559614224177,360.0
283,-5.359563385652748,360.0
284,-5.411250990429843,360.0
285,-5.417590134645374,360.0
286,-5.442531688736125,360.0
287,-5.433249254386799,360.0
288,-5.441135689718029,360.0
289,-5.452398623471973,360.0
290,-5.484235729970395,360.0
291,-5.5027643854909005,360.0
292,-5.522579577036642,360.0
293,-5.555376018647608,360.0
294,-5.571206842517659,360.0
295,-5.6238037556497344,360.0
296,-5.631162088983067,360.0
297,-5.640413752893613,360.0
298,-5.661086077540395,360.0
299,-5.6848918861962865,360.0
300,-5.686227224051924,360.0
301,-5.700008161551923,360.0
302,-5.711648786551923,360.0
303,-5.734031508426923,360.0
304,-5.750174985012841,360.0
305,-5.757326061455899,360.0
306,-5.765806548195369,360.0
307,-5.793289231502701,360.0
308,-5.802341740487899,360.0
309,-5.815832918057993,360.0
310,-5.823621080051763,360.0
311,-5.838365700013781,360.0
312,-5.877313905621257,360.0
313,-5.88502418599509,360.0
314,-5.869279887455577,360.0
315,-5.928936356857891,360.0
316,-5.944313204361767,360.0
317,-5.970088398160216,360.0
318,-5.9971281997106045,360.0
319,-6.019703548547813,360.0
320,-6.049076106183704,360.0
321,-6.0863024472689755,360.0
322,-6.092283403232955,360.0
323,-6.099795756174131,360.0
324,-6.105693774749983,360.0
325,-6.120529780941933,360.0
326,-6.126068480632335,360.0
327,-6.128100832285145,360.0
328,-6.134530507710183,360.0
329,-6.2036254235308945,360.0
330,-6.201767976889643,360.0
331,-6.216560415161248,360.0
332,-6.213403927618626,360.0
333,-6.221031046262694,360.0
334,-6.222229460037675,360.0
335,-6.257054438499213,360.0
336,-6.261582519179922,360.0
337,-6.269246739700596,360.0
338,-6.2763392052442395,360.0
339,-6.287969696882832,360.0
340,-6.328242327753651,360.0
341,-6.405628444083927,360.0
342,-6.410740064879034,360.0
343,-6.397038055450362,360.0
344,-6.40827585149298,360.0
345,-6.415886201569084,360.0
346,-6.425400661234228,360.0
347,-6.430271285282935,360.0
348,-6.436000356277946,360.0
349,-6.433745424022592,360.0
350,-6.442774255585566,360.0
351,-6.452144346632608,360.0
352,-6.459655727512729,360.0
353,-6.462097167269938,360.0
354,-6.475935457671043,360.0
355,-6.483890003125589,360.0
356,-6.49428907931004,360.0
357,-6.492709216860252,360.0
358,-6.508351999553142,360.0
359,-6.516143224969177,360.0
360,-6.519238174780401,360.0
361,-6.535093728617259,360.0
362,-6.557300537559859,360.0
363,-6.570267002816656,360.0
364,-6.567622557865199,360.0
365,-6.589804895723419,360.0
366,-6.6077581385590145,360.0
367,-6.619251049569572,360.0
368,-6.657264788574096,360.0
369,-6.66112602537651,360.0
370,-6.678066598528848,360.0
371,-6.685841862480582,360.0
372,-6.683302944012991,360.0
373,-6.689327040398533,360.0
374,-6.702732341603352,360.0
375,-6.737421895820221,360.0
376,-6.744509323531063,360.0
377,-6.750759323531063,360.0
378,-6.7639378608804615,360.0
379,-6.792568429029012,360.0
380,-6.803284995294071,360.0
381,-6.811788007342264,360.0
382,-6.81774406257118,360.0
383,-6.845215255342264,360.0
384,-6.878791280354313,360.0
385,-6.879075804744756,360.0
386,-6.886397615271073,360.0
387,-6.926783573647013,360.0
388,-6.934903874398892,360.0
389,-6.95800040141002,360.0
390,-7.017958073101355,360.0
391,-7.038059808236492,360.0
392,-7.060375877305561,360.0
393,-7.069294796224479,360.0
394,-7.081735939167423,360.0
395,-7.097674257485741,360.0
396,-7.103680263491747,360.0
397,-7.1144659603085625,360.0
398,-7.157498857162488,360.0
399,-7.171062462447774,360.0
400,-7.17706846845378,360.0
401,-7.181904625275402,360.0
402,-7.187910631281408,360.0
403,-7.211189228650777,360.0
404,-7.21408849517454,360.0
405,-7.244396328091702,360.0
406,-7.26470755131112,360.0
407,-7.286787879881898,360.0
408,-7.293560497558545,360.0
409,-7.297728761031599,360.0
410,-7.308582054444773,360.0
411,-7.318398186181299,360.0
412,-7.354199477067526,360.0
413,-7.361684507007646,360.0
414,-7.367605467455071,360.0
415,-7.3716864854191435,360.0
416,-7.381418059311359,360.0
417,-7.381486960626847,360.0
418,-7.407430591420877,360.0
419,-7.424514067241772,360.0
420,-7.4341522833611755,360.0
421,-7.3485574215379845,360.0
422,-7.35602239918329,360.0
423,-7.338146928563781,360.0
424,-7.361358593845679,360.0
425,-7.361112136669612,360.0
426,-7.379042347324426,360.0
427,-7.384175384361464,360.0
428,-7.387311988822467,360.0
429,-7.400690834976313,360.0
430,-7.441157306445756,360.0
431,-7.4510537561499,360.0
432,-7.456260856741615,360.0
433,-7.461643041591333,360.0
434,-7.470430486199899,360.0
435,-7.475138800409647,360.0
436,-7.497478664515999,360.0
437,-7.507468990589854,360.0
438,-7.539620045833578,360.0
439,-7.546931714962086,360.0
440,-7.542621017716247,360.0
441,-7.545038566219606,360.0
442,-7.559993087866665,360.0
443,-7.56689749963137,360.0
444,-7.578634220400782,360.0
445,-7.5858495916949,360.0
446,-7.6077225627537235,360.0
447,-7.613321883341959,360.0
448,-7.621042471577253,360.0
449,-7.626924824518429,360.0
450,-7.637656295106663,360.0
451,-7.643715118636076,360.0
452,-7.654157760400782,360.0
453,-7.677898904518429,360.0
454,-7.718527244276312,360.0
455,-7.739989567805723,360.0
456,-7.733278716751678,360.0
457,-7.759496500122835,360.0
458,-7.765898555923129,360.0
459,-7.770773739476726,360.0
460,-7.785318550049414,360.0
461,-7.799762654390089,360.0
462,-7.70517507442365,488.0
463,-7.74092542312967,488.0
464,-7.758373321173724,488.0
465,-7.754695354427135,488.0
466,-7.766921313371416,488.0
467,-7.776964370708659,488.0
468,-7.784949707952061,488.0
469,-7.792448168878746,488.0
470,-7.825500647887127,488.0
471,-7.829017363429649,488.0
472,-7.85388679362789,488.0
473,-7.873869505322903,488.0
474,-7.883892819105895,488.0
475,-7.890333889839033,488.0
476,-7.9410548040241355,488.0
477,-7.950735724509765,415.438174464
478,-7.9852905632194435,415.438174464
479,-7.998375778468708,415.438174464
480,-8.02579955559481,415.438174464
481,-8.033632866914457,415.438174464
482,-8.039805740814751,415.438174464
483,-8.06839251529264,415.438174464
484,-8.083542832008181,415.438174464
485,-8.090874210307302,415.438174464
486,-8.12514275816654,415.438174464
487,-8.137813189767712,415.438174464
488,-8.144204157509648,415.438174464
489,-8.160288908242785,415.438174464
490,-8.176620252893679,415.438174464
491,-8.184840194242652,415.438174464
492,-8.179905675656645,415.438174464
493,-8.185659720751813,415.438174464
494,-8.19220730493922,415.438174464
495,-8.211279918395695,415.438174464
496,-8.217973915467438,415.438174464
497,-8.228696586038447,415.438174464
498,-8.246887352418714,415.438174464
499,-8.25229680175353,415.438174464
500,-8.25844614289555,415.438174464
501,-8.263084503071246,415.438174464
502,-8.288743904868774,415.438174464
503,-8.317687392142567,415.438174464
504,-8.332628745114748,415.438174464
505,-8.336986051117675,415.438174464
506,-8.34134596912646,415.438174464
507,-8.372815096027779,415.438174464
508,-8.38013574024447,415.438174464
509,-8.393453575104791,415.438174464
510,-8.398318966457484,415.438174464
511,-8.408157940442843,415.438174464
512,-8.416129333351774,415.438174464
513,-8.410297049166806,415.438174464
514,-8.425700085663157,415.438174464
515,-8.435131999052937,415.438174464
516,-8.444727835666077,415.438174464
517,-8.471586152726701,415.438174464
518,-8.538279965716384,415.438174464
519,-8.535662171296531,415.438174464
520,-8.559057958173915,415.438174464
521,-8.564755468947636,415.438174464
522,-8.568291871867345,415.438174464
523,-8.579498517122818,415.438174464
524,-8.584123334641067,415.438174464
525,-8.588459180480484,415.438174464
526,-8.624180827741448,415.438174464
527,-8.606352062595183,415.438174464
528,-8.612116254734921,415.438174464
529,-8.619853056669784,415.438174464
530,-8.640521451499477,415.438174464
531,-8.647703110888123,415.438174464
532,-8.6518282344207,415.438174464
533,-8.66135632757936,415.438174464
534,-8.670966948763638,415.438174464
535,-8.678244969142096,415.438174464
536,-8.683081472804396,415.438174464
537,-8.71622358595342,415.438174464
538,-8.721811715667538,415.438174464
539,-8.734304732119359,415.438174464
540,-8.740289245190684,415.438174464
541,-8.753415072857873,415.438174464
542,-8.759475905463406,415.438174464
543,-8.771364394685149,415.438174464
544,-8.70003979497627,415.438174464
545,-8.713659312039443,415.438174464
546,-8.721856881762879,415.438174464
547,-8.741571269049768,415.438174464
548,-8.762123717375824,415.438174464
549,-8.754765979414522,415.438174464
550,-8.774235233135453,415.438174464
551,-8.779550118091825,415.438174464
552,-8.792778856463917,415.438174464
553,-8.822109724744847,415.438174464
554,-8.832503088698335,415.438174464
555,-8.83509454451229,415.438174464
556,-8.852445028550271,415.438174464
557,-8.86165607210748,415.438174464
558,-8.864744444200504,415.438174464
559,-8.878937191346512,415.438174464
560,-8.88521522685349,415.438174464
561,-8.890921511904653,415.438174464
562,-8.902456400565304,415.438174464
563,-8.911616158704838,415.438174464
564,-8.915061386530091,415.438174464
565,-8.92671506989729,415.438174464
566,-8.934310111636716,415.438174464
567,-8.94014981015863,415.438174464
568,-8.970675884372952,415.438174464
569,-8.975116975089932,415.438174464
570,-9.003961292003293,415.438174464
571,-9.01496373004103,415.438174464
572,-9.01960814223261,415.438174464
573,-9.035047116069034,415.438174464
574,-9.036186616798902,415.438174464
575,-9.04533756019513,415.438174464
576,-9.053942926948105,415.438174464
577,-9.06182150747362,415.438174464
578,-9.067702274962736,415.438174464
579,-9.076389359897423,415.438174464
580,-9.08231098544169,415.438174464
581,-9.106735775348808,415.438174464
582,-9.117368381444598,415.438174464
583,-9.123657228219399,415.438174464
584,-9.130835355244074,415.438174464
585,-9.138688470875913,415.438174464
586,-9.16849306577144,415.438174464
587,-9.183495661844868,415.438174464
588,-9.189301177084344,415.438174464
589,-9.196371894204809,415.438174464
590,-9.211415242245447,415.438174464
591,-9.220995962129338,415.438174464
592,-9.227214448592077,415.438174464
593,-9.234340718548536,415.438174464
594,-9.240146233788012,415.438174464
595,-9.261770886020713,415.438174464
596,-9.266906749209118,415.438174464
597,-9.277478164096074,415.438174464
598,-9.279852656849698,415.438174464
599,-9.283020986333756,415.438174464
600,-9.303966348652596,415.438174464
601,-9.308116414739553,415.438174464
602,-9.358835196648874,415.438174464
603,-9.371806211141628,415.438174464
604,-9.392753284544527,415.438174464
605,-9.395825562805397,415.438174464
606,-9.342933987381969,415.438174464
607,-9.351309969896633,415.438174464
608,-9.371449324039336,415.438174464
609,-9.385412253532074,415.438174464
610,-9.396175015274423,415.438174464
611,-9.418628102678955,415.438174464
612,-9.42409140958952,415.438174464
613,-9.42982223448098,415.438174464
614,-9.44579445217409,415.438174464
615,-9.46192370516859,415.438174464
616,-9.476925415177273,415.438174464
617,-9.488141044699704,415.438174464
618,-9.495560378997824,415.438174464
619,-9.501349091009402,415.438174464
620,-9.512852862691021,415.438174464
621,-9.576114452580141,415.438174464
622,-9.581377003949246,415.438174464
623,-9.588915796799208,415.438174464
624,-9.595249132473457,415.438174464
625,-9.598953306346289,415.438174464
626,-9.6061787398723,415.438174464
627,-9.611797445074611,415.438174464
628,-9.6744894655468,415.438174464
629,-9.692041382448535,415.438174464
630,-9.744122904213746,415.438174464
631,-9.751836863751318,415.438174464
632,-9.761491163635712,415.438174464
633,-9.833557771218892,415.438174464
634,-9.826509347306601,415.438174464
635,-9.884015993601198,415.438174464
636,-9.88771007729528,415.438174464
637,-9.897437105062355,415.438174464
638,-9.904401716894967,415.438174464
639,-9.90827130821387,415.438174464
640,-9.91353180543234,415.438174464
641,-9.923146235446772,415.438174464
642,-9.929121704422242,415.438174464
643,-9.923539396490796,415.438174464
644,-9.930671961332294,415.438174464
645,-9.927534303833975,415.438174464
646,-9.947350464624046,415.438174464
647,-9.937556857634645,415.438174464
648,-9.943653003950711,415.438174464
649,-9.956652662897838,415.438174464
650,-9.986327333468292,415.438174464
651,-9.992094165589716,415.438174464
652,-9.996842564210407,415.438174464
653,-10.006479112210407,415.438174464
654,-10.011619342095463,415.438174464
655,-10.019218959270177,415.438174464
656,-10.025184925991097,415.438174464
657,-10.032050780301443,415.438174464
658,-10.037694458462362,415.438174464
659,-10.059488857303895,415.438174464
660,-10.058113693950517,415.438174464
661,-10.068732043314077,415.438174464
662,-10.078339880931292,415.438174464
663,-10.082470652840884,415.438174464
664,-10.079799929094285,415.438174464
665,-10.085818833366998,415.438174464
666,-10.08888709161664,415.438174464
667,-10.10458573271081,415.438174464
668,-10.112736521806937,415.438174464
669,-10.106056383523544,415.438174464
670,-10.11571088209088,415.438174464
671,-10.144621649459134,415.438174464
672,-10.146335781434457,415.438174464
673,-10.15078998233394,415.438174464
674,-10.157278146069531,415.438174464
675,-10.171663648636446,415.438174464
676,-10.200109032166289,415.438174464
677,-10.207422400647664,415.438174464
678,-10.212293460819582,415.438174464
679,-10.221739024726206,415.438174464
680,-10.23482382767681,415.438174464
681,-10.24243769587165,415.438174464
682,-10.255516911465874,415.438174464
683,-10.278821967900281,415.438174464
684,-10.282713005149565,415.438174464
685,-10.288328764461886,415.438174464
686,-10.294940706999816,415.438174464
687,-10.31126503052429,415.438174464
688,-10.317007609320852,415.438174464
689,-10.324170933103087,415.438174464
690,-10.335085175550688,415.438174464
691,-10.339841622542092,415.438174464
692,-10.344194117884896,415.438174464
693,-10.35048303582186,415.438174464
694,-10.35509365975309,415.438174464
695,-10.360666618380025,415.438174464
696,-10.369934150413478,415.438174464
697,-10.3922264418004,415.438174464
698,-10.414996422364082,415.438174464
699,-10.437754771699357,415.438174464
700,-10.441456923986498,415.438174464
701,-10.451970450796908,415.438174464
702,-10.465676612278212,415.438174464
703,-10.476031076461595,415.438174464
704,-10.488737679232463,415.438174464
705,-10.498155851640231,415.438174464
706,-10.509259003502695,415.438174464
707,-10.519684018432685,415.438174464
708,-10.52804598404873,415.438174464
709,-10.533851761699161,415.438174464
710,-10.550273917950907,415.438174464
711,-10.566729584423557,415.438174464
712,-10.569634340870548,415.438174464
713,-10.560762443678895,415.438174464
